Gene,DifferentiatingProgenitors_44hpf,DorsalProgenitors_24hpf,Epidermis,FloorPlate,GlialCells,HeadMesenchymeAndEpidermis,HindbrainNeurons,ImmatureNeurons,Mesendoderm_16hpf_24hpf,NeuralCrest_16hpf,NeuralCrest_24hpf_44hpf,OticAndCranialGanglia,OticVesicle,PharyngealArches,Progenitors_16hpf,Vasculature,VMP_24hpf
rpl24,0.997716895,1,0.990654206,1,0.999019608,1,0.996726678,0.998632011,1,1,1,1,0.995833333,1,1,1,1
cep97,0.035388128,0.127035831,0.056074766,0.016393443,0.050980392,0.052941176,0.055646481,0.030095759,0.085393258,0.087155963,0.091286307,0.057692308,0.125,0.102040816,0.13960114,0.071428571,0.12611276
nfkbiz,0,0,0,0,0,0,0.001636661,0,0,0,0,0,0,0,0.001139601,0,0
CU651657.1,0,0,0.009345794,0,0.000980392,0.002941176,0,0,0,0,0,0,0,0.003401361,0.000569801,0,0
eed,0.070776256,0.389250814,0.196261682,0.081967213,0.129411765,0.211764706,0.050736498,0.047879617,0.42247191,0.598623853,0.31120332,0.150641026,0.3,0.363945578,0.588034188,0.25,0.393175074
hikeshi,0.125570776,0.338762215,0.327102804,0.213114754,0.134313725,0.279411765,0.170212766,0.086183311,0.521348315,0.538990826,0.346473029,0.240384615,0.429166667,0.428571429,0.447863248,0.285714286,0.323442136
tmem39a,0.011415525,0.102605863,0.074766355,0.245901639,0.042156863,0.164705882,0.016366612,0.002735978,0.204494382,0.160550459,0.126556017,0.044871795,0.229166667,0.173469388,0.158404558,0.142857143,0.103857567
ildr1a,0.003424658,0.008143322,0.672897196,0,0.000980392,0.008823529,0.004909984,0.001367989,0.006741573,0.020642202,0.006224066,0.006410256,0.216666667,0.054421769,0.013105413,0,0
si:zfos-1011f11.2,0,0,0,0,0,0,0,0,0,0,0,0,0.004166667,0,0,0,0
si:zfos-1011f11.1,0.006849315,0.009771987,0.76635514,0.016393443,0.008823529,0.005882353,0.006546645,0.004103967,0.042696629,0.027522936,0.012448133,0.028846154,0.5625,0.493197279,0.041595442,0.071428571,0.008902077
FP067451.1,0,0,0,0,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0
F7 (1 of many),0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0
f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f10,0.001141553,0.001628664,0.056074766,0.016393443,0.000980392,0.052941176,0.004909984,0,0.024719101,0.004587156,0.008298755,0.009615385,0.066666667,0.047619048,0.005698006,0.035714286,0.002967359
prozb,0,0,0,0,0,0,0.011456628,0,0.002247191,0,0,0.003205128,0,0,0,0,0.00148368
pcid2,0.02739726,0.239413681,0.112149533,0.06557377,0.058823529,0.105882353,0.037643208,0.02872777,0.283146067,0.376146789,0.157676349,0.125,0.216666667,0.24829932,0.382905983,0.178571429,0.197329377
cul4a,0.003424658,0.019543974,0.009345794,0,0.003921569,0.002941176,0.001636661,0.001367989,0.013483146,0.009174312,0.006224066,0.003205128,0.008333333,0,0.008547009,0.035714286,0.007418398
LAMP1,0,0.008143322,0,0,0.001960784,0,0.001636661,0.001367989,0,0,0.002074689,0,0.008333333,0.003401361,0.002279202,0,0.002967359
grtp1a,0.011415525,0.037459283,0.065420561,0,0.02254902,0.014705882,0.003273322,0.001367989,0.011235955,0.006880734,0.014522822,0.022435897,0.0375,0.030612245,0.01025641,0,0.03264095
adprhl1,0,0,0,0,0,0,0.003273322,0.002735978,0.040449438,0,0,0,0,0.003401361,0.002849003,0,0
dcun1d2b,0.077625571,0.063517915,0.196261682,0.049180328,0.042156863,0.079411765,0.166939444,0.086183311,0.080898876,0.091743119,0.080912863,0.105769231,0.129166667,0.102040816,0.064957265,0.071428571,0.053412463
tmco3,0.001141553,0,0,0,0.000980392,0,0,0,0.004494382,0.016055046,0.002074689,0.003205128,0.004166667,0.010204082,0.002849003,0,0.002967359
tfdp1b,0.044520548,0.250814332,0.168224299,0.213114754,0.074509804,0.088235294,0.029459902,0.025991792,0.346067416,0.355504587,0.17219917,0.092948718,0.25,0.227891156,0.375498575,0.214285714,0.240356083
grk1a,0,0,0,0,0,0,0,0,0.002247191,0.002293578,0.002074689,0,0,0,0.000569801,0,0
cenpe,0.030821918,0.135179153,0.130841121,0.114754098,0.05,0.1,0.004909984,0.004103967,0.217977528,0.199541284,0.093360996,0.028846154,0.2,0.173469388,0.26039886,0.178571429,0.148367953
gas6,0.015981735,0.099348534,0.037383178,0.147540984,0.051960784,0.194117647,0.058919804,0.009575923,0.341573034,0.288990826,0.114107884,0.080128205,0.275,0.25170068,0.327635328,0.142857143,0.099406528
pros1,0.007990868,0.042345277,0.037383178,0.049180328,0.021568627,0.094117647,0.009819967,0.002735978,0.179775281,0.100917431,0.05186722,0.009615385,0.116666667,0.136054422,0.080911681,0.142857143,0.043026706
rasa3,0,0.001628664,0,0,0,0,0.004909984,0,0.002247191,0,0,0,0.004166667,0,0.000569801,0.035714286,0
TPP2,0.409817352,0.115635179,0.214953271,0.31147541,0.31372549,0.270588235,0.389525368,0.346101231,0.417977528,0.472477064,0.265560166,0.381410256,0.408333333,0.404761905,0.424501425,0.321428571,0.127596439
METTL21C (1 of many),0,0,0,0,0,0,0,0,0.002247191,0,0,0,0,0,0,0,0
