Gene,Crista.SCs,HCs,Macula.SCs,max,maxcol
CR383668.1,0,0,0,0,Crista.SCs
fgfr1op2,0,0.021587302,0,0.021587302,HCs
si:dkey-21h14.12,0,0,0,0,Crista.SCs
si:dkey-285e18.2,0,0,0,0,Crista.SCs
znf1114,0,0.005079365,0.008196721,0.008196721,Macula.SCs
si:dkey-21h14.10,0,0,0,0,Crista.SCs
ERC1,0.156521739,0.64952381,0.131147541,0.64952381,HCs
si:dkey-199m13.5,0.008695652,0.000634921,0,0.008695652,Crista.SCs
erc1b,0,0.000634921,0,0.000634921,HCs
si:dkey-199m13.4,0.008695652,0.001269841,0.016393443,0.016393443,Macula.SCs
si:dkey-285e18.5,0,0,0,0,Crista.SCs
si:dkey-285e18.6,0,0,0,0,Crista.SCs
tm7sf3,0.008695652,0.028571429,0.049180328,0.049180328,Macula.SCs
galnt8b.2,0,0.000634921,0,0.000634921,HCs
zgc:174650,0,0.000634921,0,0.000634921,HCs
pax4,0,0,0,0,Crista.SCs
dyrk2,0.008695652,0.059047619,0.008196721,0.059047619,HCs
lhfpl3,0.008695652,0.006984127,0,0.008695652,Crista.SCs
si:dkey-21h14.9,0,0,0,0,Crista.SCs
si:ch211-197e7.1,0,0.001269841,0,0.001269841,HCs
si:dkeyp-82h4.1,0,0.002539683,0,0.002539683,HCs
si:dkeyp-82h4.3,0,0.022857143,0,0.022857143,HCs
znf1136,0.008695652,0.007619048,0,0.008695652,Crista.SCs
wnt5b,0.139130435,0.053333333,0.049180328,0.139130435,Crista.SCs
znf1062,0,0.000634921,0,0.000634921,HCs
si:ch211-266a5.12,0,0,0,0,Crista.SCs
si:dkey-16p19.1,0,0,0,0,Crista.SCs
BX571664.1,0,0.014603175,0.016393443,0.016393443,Macula.SCs
fbxl14b,0.017391304,0.026031746,0.040983607,0.040983607,Macula.SCs
BX649324.2,0,0,0,0,Crista.SCs
znf1052,0,0,0.008196721,0.008196721,Macula.SCs
CR749763.5,0.008695652,0.003174603,0.008196721,0.008695652,Crista.SCs
ada2b,0.008695652,0.000634921,0,0.008695652,Crista.SCs
si:dkey-16p19.5,0,0.001904762,0,0.001904762,HCs
atp6v1e1b,0.034782609,0.244444444,0.032786885,0.244444444,HCs
nampta,0.060869565,0.108571429,0.06557377,0.108571429,HCs
BX324126.1,0,0,0,0,Crista.SCs
zgc:172014,0,0.001269841,0,0.001269841,HCs
zgc:173709,0.008695652,0.010793651,0.016393443,0.016393443,Macula.SCs
cracr2ab,0,0,0,0,Crista.SCs
si:ch211-73m21.1,0,0,0,0,Crista.SCs
BX957251.1,0,0,0,0,Crista.SCs
prmt8b,0,0.001269841,0,0.001269841,HCs
si:ch211-181p13.2,0,0.001904762,0,0.001904762,HCs
rbm17,0.008695652,0.038095238,0,0.038095238,HCs
ifng1,0,0,0,0,Crista.SCs
CR382294.1,0.008695652,0,0,0.008695652,Crista.SCs
zgc:174944,0,0.001269841,0,0.001269841,HCs
braf,0.086956522,0.095873016,0.024590164,0.095873016,HCs
kmt2e,0.156521739,0.160634921,0.081967213,0.160634921,HCs
ifng1r,0,0,0,0,Crista.SCs
il26,0,0,0,0,Crista.SCs
si:dkey-178j11.5,0,0.001269841,0.008196721,0.008196721,Macula.SCs
si:dkey-156k2.4,0,0.000634921,0,0.000634921,HCs
med21,0.008695652,0.023492063,0,0.023492063,HCs
si:dkey-16p19.5.1,0,0.003809524,0,0.003809524,HCs
si:dkey-16p6.1,0,0.002539683,0,0.002539683,HCs
znf1135,0,0,0,0,Crista.SCs
si:dkey-11n14.1,0,0.010793651,0.016393443,0.016393443,Macula.SCs
si:ch211-152l15.2,0,0.000634921,0,0.000634921,HCs
hgfa,0,0,0,0,Crista.SCs
znf1099,0,0,0,0,Crista.SCs
sypl1,0.008695652,0.003174603,0,0.008695652,Crista.SCs
il22,0,0.000634921,0,0.000634921,HCs
CU928083.1,0.008695652,0.006349206,0.008196721,0.008695652,Crista.SCs
atp2b1a,0.269565217,0.926984127,0.270491803,0.926984127,HCs
BX842699.1,0.034782609,0.126349206,0.12295082,0.126349206,HCs
si:dkey-16p19.5.2,0,0.004444444,0.008196721,0.008196721,Macula.SCs
adipor2,0.113043478,0.231111111,0.12295082,0.231111111,HCs
znf1066,0.017391304,0.001269841,0,0.017391304,Crista.SCs
