Gene,Crista.SCs_spec,HCs_spec,Macula.SCs_spec
CR383668.1,1.0,1.0,1.0
fgfr1op2,0.978412698,1.0,0.978412698
si:dkey-21h14.12,1.0,1.0,1.0
si:dkey-285e18.2,1.0,1.0,1.0
znf1114,0.991803279,0.991803279,0.994920635
si:dkey-21h14.10,1.0,1.0,1.0
ERC1,0.35047618999999997,0.843478261,0.35047618999999997
si:dkey-199m13.5,0.999365079,0.991304348,0.991304348
erc1b,0.999365079,1.0,0.999365079
si:dkey-199m13.4,0.983606557,0.983606557,0.991304348
si:dkey-285e18.5,1.0,1.0,1.0
si:dkey-285e18.6,1.0,1.0,1.0
tm7sf3,0.950819672,0.950819672,0.971428571
galnt8b.2,0.999365079,1.0,0.999365079
zgc:174650,0.999365079,1.0,0.999365079
pax4,1.0,1.0,1.0
dyrk2,0.940952381,0.991304348,0.940952381
lhfpl3,0.993015873,0.991304348,0.991304348
si:dkey-21h14.9,1.0,1.0,1.0
si:ch211-197e7.1,0.998730159,1.0,0.998730159
si:dkeyp-82h4.1,0.997460317,1.0,0.997460317
si:dkeyp-82h4.3,0.977142857,1.0,0.977142857
znf1136,0.992380952,0.991304348,0.991304348
wnt5b,0.946666667,0.860869565,0.860869565
znf1062,0.999365079,1.0,0.999365079
si:ch211-266a5.12,1.0,1.0,1.0
si:dkey-16p19.1,1.0,1.0,1.0
BX571664.1,0.983606557,0.983606557,0.985396825
fbxl14b,0.959016393,0.959016393,0.973968254
BX649324.2,1.0,1.0,1.0
znf1052,0.991803279,0.991803279,1.0
CR749763.5,0.991803279,0.991304348,0.991304348
ada2b,0.999365079,0.991304348,0.991304348
si:dkey-16p19.5,0.998095238,1.0,0.998095238
atp6v1e1b,0.755555556,0.965217391,0.755555556
nampta,0.8914285710000001,0.93442623,0.8914285710000001
BX324126.1,1.0,1.0,1.0
zgc:172014,0.998730159,1.0,0.998730159
zgc:173709,0.983606557,0.983606557,0.989206349
cracr2ab,1.0,1.0,1.0
si:ch211-73m21.1,1.0,1.0,1.0
BX957251.1,1.0,1.0,1.0
prmt8b,0.998730159,1.0,0.998730159
si:ch211-181p13.2,0.998095238,1.0,0.998095238
rbm17,0.961904762,0.991304348,0.961904762
ifng1,1.0,1.0,1.0
CR382294.1,1.0,0.991304348,0.991304348
zgc:174944,0.998730159,1.0,0.998730159
braf,0.904126984,0.913043478,0.904126984
kmt2e,0.839365079,0.843478261,0.839365079
ifng1r,1.0,1.0,1.0
il26,1.0,1.0,1.0
si:dkey-178j11.5,0.991803279,0.991803279,0.998730159
si:dkey-156k2.4,0.999365079,1.0,0.999365079
med21,0.976507937,0.991304348,0.976507937
si:dkey-16p19.5.1,0.996190476,1.0,0.996190476
si:dkey-16p6.1,0.997460317,1.0,0.997460317
znf1135,1.0,1.0,1.0
si:dkey-11n14.1,0.983606557,0.983606557,0.989206349
si:ch211-152l15.2,0.999365079,1.0,0.999365079
hgfa,1.0,1.0,1.0
znf1099,1.0,1.0,1.0
sypl1,0.996825397,0.991304348,0.991304348
il22,0.999365079,1.0,0.999365079
CU928083.1,0.991803279,0.991304348,0.991304348
atp2b1a,0.07301587300000001,0.729508197,0.07301587300000001
BX842699.1,0.873650794,0.87704918,0.873650794
si:dkey-16p19.5.2,0.991803279,0.991803279,0.995555556
adipor2,0.768888889,0.87704918,0.768888889
znf1066,0.998730159,0.982608696,0.982608696
si:dkey-47k16.4,0.998095238,1.0,0.998095238
mdm1,0.982222222,0.991304348,0.982222222
si:dkey-156k2.7,1.0,1.0,1.0
BX649620.1,0.996825397,1.0,0.996825397
