Gene,HCs,Macula.SCs,Crista.SCs
slc32a1_tfap2c,0,0,0
bhlhe22_slc32a1,0,0,0
pax10_slc32a1,0,0,0
slc32a1_tiam1a,0,0,0
slc32a1_tfap2e,0,0,0
pvalb6_slc32a1,0,0,0
slc32a1_slc6a1a,0,0,0
slc32a1_srrm4,0,0,0
meis2a_slc32a1,0,0,0
gbx2_slc32a1,0,0,0
slc32a1_tspan18b,0,0,0
chgb_slc32a1,0,0,0
dtnbp1a_slc32a1,0,0,0
lmo4b_slc32a1,0,0,0
gad2_slc32a1,0,0,0
kctd15a_slc32a1,0,0,0
dtnbp1b_slc32a1,0,0,0
prdm13_slc32a1,0,0,0
rims2a_slc32a1,0,0,0.008695652
kcnab1b_slc32a1,0,0,0
slc18a3a_slc32a1,0,0,0
bhlhe22_tfap2c,0,0,0
pax10_tfap2c,0,0,0
tfap2c_tiam1a,0,0,0
tfap2c_tfap2e,0,0,0
pvalb6_tfap2c,0,0,0
slc6a1a_tfap2c,0,0,0
srrm4_tfap2c,0.001269841,0,0
meis2a_tfap2c,0,0,0
gbx2_tfap2c,0,0,0
tfap2c_tspan18b,0,0,0
chgb_tfap2c,0,0,0
dtnbp1a_tfap2c,0,0,0
lmo4b_tfap2c,0,0,0
gad2_tfap2c,0,0,0
kctd15a_tfap2c,0,0,0
dtnbp1b_tfap2c,0,0,0
prdm13_tfap2c,0,0,0
rims2a_tfap2c,0,0,0
kcnab1b_tfap2c,0,0,0
slc18a3a_tfap2c,0,0,0
bhlhe22_pax10,0,0,0
bhlhe22_tiam1a,0,0,0
bhlhe22_tfap2e,0,0,0
bhlhe22_pvalb6,0,0,0
bhlhe22_slc6a1a,0,0,0
bhlhe22_srrm4,0,0,0
bhlhe22_meis2a,0,0,0
bhlhe22_gbx2,0,0,0
bhlhe22_tspan18b,0,0,0
bhlhe22_chgb,0,0,0
bhlhe22_dtnbp1a,0,0,0
bhlhe22_lmo4b,0,0,0
bhlhe22_gad2,0,0,0
bhlhe22_kctd15a,0,0,0
bhlhe22_dtnbp1b,0,0,0
bhlhe22_prdm13,0,0,0
bhlhe22_rims2a,0,0,0
bhlhe22_kcnab1b,0,0,0
bhlhe22_slc18a3a,0,0,0
pax10_tiam1a,0.000634921,0,0
pax10_tfap2e,0,0,0
pax10_pvalb6,0,0,0
pax10_slc6a1a,0,0,0
pax10_srrm4,0.001904762,0,0
meis2a_pax10,0,0,0
gbx2_pax10,0,0,0
pax10_tspan18b,0,0,0
chgb_pax10,0,0,0
dtnbp1a_pax10,0,0,0
lmo4b_pax10,0.000634921,0,0
gad2_pax10,0,0,0
kctd15a_pax10,0,0,0
dtnbp1b_pax10,0,0,0
pax10_prdm13,0,0,0
pax10_rims2a,0.001269841,0,0
kcnab1b_pax10,0,0,0
pax10_slc18a3a,0,0,0
tfap2e_tiam1a,0,0,0
pvalb6_tiam1a,0.001904762,0.008196721,0
slc6a1a_tiam1a,0,0,0
srrm4_tiam1a,0.052698413,0.024590164,0.008695652
meis2a_tiam1a,0.001904762,0,0
gbx2_tiam1a,0,0,0
tiam1a_tspan18b,0,0,0.008695652
chgb_tiam1a,0,0,0
dtnbp1a_tiam1a,0.005714286,0,0
lmo4b_tiam1a,0.017142857,0.016393443,0.017391304
gad2_tiam1a,0.000634921,0.008196721,0
kctd15a_tiam1a,0.000634921,0,0
dtnbp1b_tiam1a,0,0,0
prdm13_tiam1a,0,0,0
rims2a_tiam1a,0.038730159,0.008196721,0.008695652
kcnab1b_tiam1a,0.000634921,0,0
slc18a3a_tiam1a,0,0,0
pvalb6_tfap2e,0,0,0
slc6a1a_tfap2e,0,0,0
srrm4_tfap2e,0.000634921,0,0
meis2a_tfap2e,0,0,0
gbx2_tfap2e,0,0,0
tfap2e_tspan18b,0,0,0
chgb_tfap2e,0,0,0
dtnbp1a_tfap2e,0,0,0
lmo4b_tfap2e,0,0,0
gad2_tfap2e,0,0,0
kctd15a_tfap2e,0,0,0
dtnbp1b_tfap2e,0,0,0
prdm13_tfap2e,0,0,0
rims2a_tfap2e,0,0,0
kcnab1b_tfap2e,0,0,0
slc18a3a_tfap2e,0,0,0
pvalb6_slc6a1a,0,0,0
pvalb6_srrm4,0.02031746,0.008196721,0
meis2a_pvalb6,0.001269841,0,0
gbx2_pvalb6,0,0,0
pvalb6_tspan18b,0,0,0.008695652
chgb_pvalb6,0,0,0
dtnbp1a_pvalb6,0.005714286,0,0
lmo4b_pvalb6,0.006349206,0.008196721,0.008695652
gad2_pvalb6,0.000634921,0,0
kctd15a_pvalb6,0,0,0
dtnbp1b_pvalb6,0,0,0
prdm13_pvalb6,0,0,0
pvalb6_rims2a,0.01968254,0.008196721,0.008695652
kcnab1b_pvalb6,0.000634921,0,0
pvalb6_slc18a3a,0,0,0
slc6a1a_srrm4,0.001904762,0,0
meis2a_slc6a1a,0,0,0
gbx2_slc6a1a,0,0,0
slc6a1a_tspan18b,0,0,0.008695652
chgb_slc6a1a,0,0,0
dtnbp1a_slc6a1a,0,0,0
lmo4b_slc6a1a,0.000634921,0,0
gad2_slc6a1a,0,0,0
kctd15a_slc6a1a,0,0,0
dtnbp1b_slc6a1a,0,0,0
prdm13_slc6a1a,0,0,0
rims2a_slc6a1a,0.000634921,0,0
kcnab1b_slc6a1a,0,0,0
slc18a3a_slc6a1a,0,0,0
meis2a_srrm4,0.013968254,0,0
gbx2_srrm4,0,0,0
srrm4_tspan18b,0.002539683,0,0
chgb_srrm4,0.001269841,0,0
dtnbp1a_srrm4,0.052063492,0.016393443,0.008695652
lmo4b_srrm4,0.088888889,0.049180328,0.026086957
gad2_srrm4,0.004444444,0,0
kctd15a_srrm4,0.004444444,0,0
dtnbp1b_srrm4,0.001269841,0,0
prdm13_srrm4,0,0,0
rims2a_srrm4,0.184761905,0.032786885,0.017391304
kcnab1b_srrm4,0.002539683,0.008196721,0
slc18a3a_srrm4,0.000634921,0,0
gbx2_meis2a,0,0,0
meis2a_tspan18b,0,0,0
chgb_meis2a,0,0,0
dtnbp1a_meis2a,0.006349206,0,0
lmo4b_meis2a,0.008888889,0,0
gad2_meis2a,0.001269841,0,0
kctd15a_meis2a,0.001904762,0,0
dtnbp1b_meis2a,0,0,0
meis2a_prdm13,0,0,0
meis2a_rims2a,0.013968254,0,0
kcnab1b_meis2a,0.001269841,0,0
meis2a_slc18a3a,0,0,0
gbx2_tspan18b,0,0,0
chgb_gbx2,0,0,0
dtnbp1a_gbx2,0,0,0
gbx2_lmo4b,0,0,0
gad2_gbx2,0,0,0
gbx2_kctd15a,0,0,0
dtnbp1b_gbx2,0,0,0
gbx2_prdm13,0,0,0
gbx2_rims2a,0,0,0
gbx2_kcnab1b,0,0,0
gbx2_slc18a3a,0,0,0
chgb_tspan18b,0,0,0
dtnbp1a_tspan18b,0.000634921,0,0.008695652
lmo4b_tspan18b,0.000634921,0,0.026086957
gad2_tspan18b,0,0,0
kctd15a_tspan18b,0,0,0
dtnbp1b_tspan18b,0,0,0
prdm13_tspan18b,0,0,0
rims2a_tspan18b,0.001269841,0,0.008695652
kcnab1b_tspan18b,0,0,0
slc18a3a_tspan18b,0,0,0
chgb_dtnbp1a,0.000634921,0,0
chgb_lmo4b,0,0,0
chgb_gad2,0,0,0
chgb_kctd15a,0,0,0
chgb_dtnbp1b,0,0,0
chgb_prdm13,0,0,0
chgb_rims2a,0.000634921,0,0
chgb_kcnab1b,0,0,0
chgb_slc18a3a,0,0,0
dtnbp1a_lmo4b,0.025396825,0.008196721,0
dtnbp1a_gad2,0.003174603,0,0
dtnbp1a_kctd15a,0.000634921,0.008196721,0
dtnbp1a_dtnbp1b,0,0,0
dtnbp1a_prdm13,0,0,0
dtnbp1a_rims2a,0.039365079,0,0.017391304
dtnbp1a_kcnab1b,0.001269841,0,0
dtnbp1a_slc18a3a,0,0,0
gad2_lmo4b,0.006984127,0,0.008695652
kctd15a_lmo4b,0.001269841,0,0
dtnbp1b_lmo4b,0.000634921,0,0
lmo4b_prdm13,0,0,0
lmo4b_rims2a,0.075555556,0.024590164,0.017391304
kcnab1b_lmo4b,0.001269841,0.008196721,0.008695652
lmo4b_slc18a3a,0,0,0
gad2_kctd15a,0.000634921,0,0
dtnbp1b_gad2,0,0,0
gad2_prdm13,0,0,0
gad2_rims2a,0.005079365,0,0
gad2_kcnab1b,0.000634921,0,0
gad2_slc18a3a,0,0,0
dtnbp1b_kctd15a,0,0,0
kctd15a_prdm13,0,0,0
kctd15a_rims2a,0.007619048,0,0
kcnab1b_kctd15a,0,0,0
kctd15a_slc18a3a,0,0,0
dtnbp1b_prdm13,0,0,0
dtnbp1b_rims2a,0,0,0
dtnbp1b_kcnab1b,0,0,0
dtnbp1b_slc18a3a,0,0,0
prdm13_rims2a,0,0,0
kcnab1b_prdm13,0,0,0
prdm13_slc18a3a,0,0,0
kcnab1b_rims2a,0.003174603,0.008196721,0
rims2a_slc18a3a,0.000634921,0,0
kcnab1b_slc18a3a,0,0,0
gnb3a_vsx1,0,0,0
pcp4l1_vsx1,0,0,0
bhlhe23_vsx1,0,0,0
bcl2l10_vsx1,0,0,0
tmem178b_vsx1,0,0,0
foxo4_vsx1,0,0,0
hunk_vsx1,0,0,0
si:ch211-260e23.9_vsx1,0,0,0
nol4la_vsx1,0,0,0
tp53inp1_vsx1,0,0,0
neurod4_vsx1,0,0,0
chn1_vsx1,0,0,0
calb2b_vsx1,0,0,0
crybb1_vsx1,0,0,0
cadm3_vsx1,0,0,0
crygm2d17_vsx1,0,0,0
stx3a_vsx1,0,0,0
chst1_vsx1,0,0,0
crygn2_vsx1,0,0,0
cryba1l1_vsx1,0,0,0
cryba4_vsx1,0,0,0
ddah2_vsx1,0,0,0
crygm2d13_vsx1,0,0,0
rorab_vsx1,0,0,0
gnb3a_pcp4l1,0,0,0
bhlhe23_gnb3a,0,0,0
bcl2l10_gnb3a,0,0,0
gnb3a_tmem178b,0,0,0
foxo4_gnb3a,0,0,0
gnb3a_hunk,0,0,0
gnb3a_si:ch211-260e23.9,0,0,0
gnb3a_nol4la,0,0,0
gnb3a_tp53inp1,0,0,0
gnb3a_neurod4,0,0,0
chn1_gnb3a,0,0,0
calb2b_gnb3a,0,0,0
crybb1_gnb3a,0,0,0
cadm3_gnb3a,0,0,0
crygm2d17_gnb3a,0,0,0
gnb3a_stx3a,0,0,0
chst1_gnb3a,0,0,0
crygn2_gnb3a,0,0,0
cryba1l1_gnb3a,0,0,0
cryba4_gnb3a,0,0,0
ddah2_gnb3a,0,0,0
crygm2d13_gnb3a,0,0,0
gnb3a_rorab,0,0,0
bhlhe23_pcp4l1,0,0,0
bcl2l10_pcp4l1,0,0,0
pcp4l1_tmem178b,0,0,0
foxo4_pcp4l1,0,0,0
hunk_pcp4l1,0,0,0
pcp4l1_si:ch211-260e23.9,0,0,0
nol4la_pcp4l1,0,0,0
pcp4l1_tp53inp1,0,0,0
neurod4_pcp4l1,0,0,0
chn1_pcp4l1,0,0,0
calb2b_pcp4l1,0,0,0
crybb1_pcp4l1,0,0,0
cadm3_pcp4l1,0,0,0
crygm2d17_pcp4l1,0,0,0
pcp4l1_stx3a,0,0,0
chst1_pcp4l1,0,0,0
crygn2_pcp4l1,0,0,0
cryba1l1_pcp4l1,0,0,0
cryba4_pcp4l1,0,0,0
ddah2_pcp4l1,0,0,0
crygm2d13_pcp4l1,0,0,0
pcp4l1_rorab,0,0,0
bcl2l10_bhlhe23,0,0,0
bhlhe23_tmem178b,0,0,0
bhlhe23_foxo4,0,0,0
bhlhe23_hunk,0,0,0
bhlhe23_si:ch211-260e23.9,0,0,0
bhlhe23_nol4la,0,0,0
bhlhe23_tp53inp1,0,0,0
bhlhe23_neurod4,0,0,0
bhlhe23_chn1,0,0,0
bhlhe23_calb2b,0,0,0
bhlhe23_crybb1,0,0,0
bhlhe23_cadm3,0,0,0
bhlhe23_crygm2d17,0,0,0
bhlhe23_stx3a,0,0,0
bhlhe23_chst1,0,0,0
bhlhe23_crygn2,0,0,0
bhlhe23_cryba1l1,0,0,0
bhlhe23_cryba4,0,0,0
bhlhe23_ddah2,0,0,0
bhlhe23_crygm2d13,0,0,0
bhlhe23_rorab,0,0,0
bcl2l10_tmem178b,0.158730159,0.024590164,0.017391304
bcl2l10_foxo4,0.042539683,0.016393443,0.034782609
bcl2l10_hunk,0,0.008196721,0
bcl2l10_si:ch211-260e23.9,0.008253968,0.008196721,0
bcl2l10_nol4la,0.001904762,0,0
bcl2l10_tp53inp1,0.046984127,0,0
bcl2l10_neurod4,0,0,0
bcl2l10_chn1,0.027301587,0.008196721,0
bcl2l10_calb2b,0.000634921,0,0
bcl2l10_crybb1,0,0,0
bcl2l10_cadm3,0.001269841,0,0.008695652
bcl2l10_crygm2d17,0,0,0
bcl2l10_stx3a,0.023492063,0,0.008695652
bcl2l10_chst1,0,0,0
bcl2l10_crygn2,0,0,0
bcl2l10_cryba1l1,0.020952381,0,0
bcl2l10_cryba4,0,0,0
bcl2l10_ddah2,0.000634921,0,0
bcl2l10_crygm2d13,0,0,0
bcl2l10_rorab,0.06031746,0.049180328,0.017391304
foxo4_tmem178b,0.120634921,0.024590164,0.017391304
hunk_tmem178b,0.001269841,0.008196721,0
si:ch211-260e23.9_tmem178b,0.025396825,0.016393443,0
nol4la_tmem178b,0.006349206,0,0
tmem178b_tp53inp1,0.095238095,0.008196721,0
neurod4_tmem178b,0,0,0
chn1_tmem178b,0.055238095,0.008196721,0.008695652
calb2b_tmem178b,0.008253968,0,0
crybb1_tmem178b,0,0,0
cadm3_tmem178b,0.003809524,0,0.008695652
crygm2d17_tmem178b,0,0,0
stx3a_tmem178b,0.048888889,0,0
chst1_tmem178b,0.000634921,0,0
crygn2_tmem178b,0,0,0
cryba1l1_tmem178b,0.034285714,0,0
cryba4_tmem178b,0,0,0
ddah2_tmem178b,0.000634921,0,0
crygm2d13_tmem178b,0,0,0
rorab_tmem178b,0.155555556,0,0.008695652
foxo4_hunk,0,0,0
foxo4_si:ch211-260e23.9,0.006984127,0.008196721,0
foxo4_nol4la,0.001269841,0,0
foxo4_tp53inp1,0.039365079,0,0
foxo4_neurod4,0,0,0
chn1_foxo4,0.021587302,0,0.017391304
calb2b_foxo4,0.002539683,0,0
crybb1_foxo4,0,0,0
cadm3_foxo4,0,0,0.008695652
crygm2d17_foxo4,0,0,0
foxo4_stx3a,0.022857143,0.008196721,0
chst1_foxo4,0,0,0
crygn2_foxo4,0,0,0
cryba1l1_foxo4,0.007619048,0,0
cryba4_foxo4,0,0,0
ddah2_foxo4,0.000634921,0,0
crygm2d13_foxo4,0,0,0
foxo4_rorab,0.054603175,0.024590164,0.008695652
hunk_si:ch211-260e23.9,0,0,0
hunk_nol4la,0,0,0
hunk_tp53inp1,0,0,0
hunk_neurod4,0,0,0
chn1_hunk,0,0,0
calb2b_hunk,0,0,0
crybb1_hunk,0,0,0
cadm3_hunk,0,0,0
crygm2d17_hunk,0,0,0
hunk_stx3a,0,0,0
chst1_hunk,0,0,0
crygn2_hunk,0,0,0
cryba1l1_hunk,0,0,0
cryba4_hunk,0,0,0
ddah2_hunk,0,0,0
crygm2d13_hunk,0,0,0
hunk_rorab,0,0,0
nol4la_si:ch211-260e23.9,0,0,0
si:ch211-260e23.9_tp53inp1,0.006349206,0.008196721,0
neurod4_si:ch211-260e23.9,0,0,0
chn1_si:ch211-260e23.9,0.005079365,0.016393443,0
calb2b_si:ch211-260e23.9,0.000634921,0,0
crybb1_si:ch211-260e23.9,0,0,0
cadm3_si:ch211-260e23.9,0.000634921,0,0
crygm2d17_si:ch211-260e23.9,0,0,0
si:ch211-260e23.9_stx3a,0.003174603,0,0
chst1_si:ch211-260e23.9,0,0,0
crygn2_si:ch211-260e23.9,0,0,0
cryba1l1_si:ch211-260e23.9,0.000634921,0,0
cryba4_si:ch211-260e23.9,0,0,0
ddah2_si:ch211-260e23.9,0,0,0
crygm2d13_si:ch211-260e23.9,0,0,0
rorab_si:ch211-260e23.9,0.01015873,0,0
nol4la_tp53inp1,0,0,0
neurod4_nol4la,0,0,0
chn1_nol4la,0,0,0
calb2b_nol4la,0,0,0
crybb1_nol4la,0,0,0
cadm3_nol4la,0,0,0
crygm2d17_nol4la,0,0,0
nol4la_stx3a,0.000634921,0,0
chst1_nol4la,0,0,0
crygn2_nol4la,0,0,0
cryba1l1_nol4la,0,0,0
cryba4_nol4la,0,0,0
ddah2_nol4la,0,0,0
crygm2d13_nol4la,0,0,0
nol4la_rorab,0.001269841,0,0
neurod4_tp53inp1,0,0,0
chn1_tp53inp1,0.019047619,0,0
calb2b_tp53inp1,0.000634921,0,0
crybb1_tp53inp1,0,0,0
cadm3_tp53inp1,0.001269841,0,0
crygm2d17_tp53inp1,0,0,0
stx3a_tp53inp1,0.016507937,0,0
chst1_tp53inp1,0,0,0
crygn2_tp53inp1,0,0,0
cryba1l1_tp53inp1,0.010793651,0,0
cryba4_tp53inp1,0,0,0
ddah2_tp53inp1,0,0,0
crygm2d13_tp53inp1,0,0,0
rorab_tp53inp1,0.034285714,0,0
chn1_neurod4,0,0,0
calb2b_neurod4,0,0,0
crybb1_neurod4,0,0,0
cadm3_neurod4,0,0,0
crygm2d17_neurod4,0,0,0
neurod4_stx3a,0,0,0
chst1_neurod4,0,0,0
crygn2_neurod4,0,0,0
cryba1l1_neurod4,0,0,0
cryba4_neurod4,0,0,0
ddah2_neurod4,0,0,0
crygm2d13_neurod4,0,0,0
neurod4_rorab,0,0,0
calb2b_chn1,0.000634921,0,0
chn1_crybb1,0,0,0
cadm3_chn1,0.001269841,0,0
chn1_crygm2d17,0,0,0
chn1_stx3a,0.013333333,0,0.008695652
chn1_chst1,0,0,0
chn1_crygn2,0,0,0
chn1_cryba1l1,0.004444444,0,0
chn1_cryba4,0,0,0
chn1_ddah2,0,0,0
chn1_crygm2d13,0,0,0
chn1_rorab,0.024126984,0.008196721,0
calb2b_crybb1,0,0,0
cadm3_calb2b,0,0,0
calb2b_crygm2d17,0,0,0
calb2b_stx3a,0,0,0
calb2b_chst1,0,0,0
calb2b_crygn2,0,0,0
calb2b_cryba1l1,0.001269841,0,0
calb2b_cryba4,0,0,0
calb2b_ddah2,0,0,0
calb2b_crygm2d13,0,0,0
calb2b_rorab,0.002539683,0,0.008695652
cadm3_crybb1,0,0,0
crybb1_crygm2d17,0,0,0
crybb1_stx3a,0,0,0
chst1_crybb1,0,0,0
crybb1_crygn2,0,0,0
cryba1l1_crybb1,0,0,0
cryba4_crybb1,0,0,0
crybb1_ddah2,0,0,0
crybb1_crygm2d13,0,0,0
crybb1_rorab,0,0,0
cadm3_crygm2d17,0,0,0
cadm3_stx3a,0.000634921,0,0
cadm3_chst1,0,0,0
cadm3_crygn2,0,0,0
cadm3_cryba1l1,0.000634921,0,0
cadm3_cryba4,0,0,0
cadm3_ddah2,0,0,0
cadm3_crygm2d13,0,0,0
cadm3_rorab,0.001269841,0.016393443,0
crygm2d17_stx3a,0,0,0
chst1_crygm2d17,0,0,0
crygm2d17_crygn2,0,0,0
cryba1l1_crygm2d17,0,0,0
cryba4_crygm2d17,0,0,0
crygm2d17_ddah2,0,0,0
crygm2d13_crygm2d17,0,0,0
