Gene,HCs_spec,Macula.SCs_spec,Crista.SCs_spec
slc32a1_tfap2c,1,1,1
bhlhe22_slc32a1,1,1,1
pax10_slc32a1,1,1,1
slc32a1_tiam1a,1,1,1
slc32a1_tfap2e,1,1,1
pvalb6_slc32a1,1,1,1
slc32a1_slc6a1a,1,1,1
slc32a1_srrm4,1,1,1
meis2a_slc32a1,1,1,1
gbx2_slc32a1,1,1,1
slc32a1_tspan18b,1,1,1
chgb_slc32a1,1,1,1
dtnbp1a_slc32a1,1,1,1
lmo4b_slc32a1,1,1,1
gad2_slc32a1,1,1,1
kctd15a_slc32a1,1,1,1
dtnbp1b_slc32a1,1,1,1
prdm13_slc32a1,1,1,1
rims2a_slc32a1,0.991304348,0.991304348,1
kcnab1b_slc32a1,1,1,1
slc18a3a_slc32a1,1,1,1
bhlhe22_tfap2c,1,1,1
pax10_tfap2c,1,1,1
tfap2c_tiam1a,1,1,1
tfap2c_tfap2e,1,1,1
pvalb6_tfap2c,1,1,1
slc6a1a_tfap2c,1,1,1
srrm4_tfap2c,1,0.998730159,0.998730159
meis2a_tfap2c,1,1,1
gbx2_tfap2c,1,1,1
tfap2c_tspan18b,1,1,1
chgb_tfap2c,1,1,1
dtnbp1a_tfap2c,1,1,1
lmo4b_tfap2c,1,1,1
gad2_tfap2c,1,1,1
kctd15a_tfap2c,1,1,1
dtnbp1b_tfap2c,1,1,1
prdm13_tfap2c,1,1,1
rims2a_tfap2c,1,1,1
kcnab1b_tfap2c,1,1,1
slc18a3a_tfap2c,1,1,1
bhlhe22_pax10,1,1,1
bhlhe22_tiam1a,1,1,1
bhlhe22_tfap2e,1,1,1
bhlhe22_pvalb6,1,1,1
bhlhe22_slc6a1a,1,1,1
bhlhe22_srrm4,1,1,1
bhlhe22_meis2a,1,1,1
bhlhe22_gbx2,1,1,1
bhlhe22_tspan18b,1,1,1
bhlhe22_chgb,1,1,1
bhlhe22_dtnbp1a,1,1,1
bhlhe22_lmo4b,1,1,1
bhlhe22_gad2,1,1,1
bhlhe22_kctd15a,1,1,1
bhlhe22_dtnbp1b,1,1,1
bhlhe22_prdm13,1,1,1
bhlhe22_rims2a,1,1,1
bhlhe22_kcnab1b,1,1,1
bhlhe22_slc18a3a,1,1,1
pax10_tiam1a,1,0.999365079,0.999365079
pax10_tfap2e,1,1,1
pax10_pvalb6,1,1,1
pax10_slc6a1a,1,1,1
pax10_srrm4,1,0.998095238,0.998095238
meis2a_pax10,1,1,1
gbx2_pax10,1,1,1
pax10_tspan18b,1,1,1
chgb_pax10,1,1,1
dtnbp1a_pax10,1,1,1
lmo4b_pax10,1,0.999365079,0.999365079
gad2_pax10,1,1,1
kctd15a_pax10,1,1,1
dtnbp1b_pax10,1,1,1
pax10_prdm13,1,1,1
pax10_rims2a,1,0.998730159,0.998730159
kcnab1b_pax10,1,1,1
pax10_slc18a3a,1,1,1
tfap2e_tiam1a,1,1,1
pvalb6_tiam1a,0.991803279,0.998095238,0.991803279
slc6a1a_tiam1a,1,1,1
srrm4_tiam1a,0.975409836,0.947301587,0.947301587
meis2a_tiam1a,1,0.998095238,0.998095238
gbx2_tiam1a,1,1,1
tiam1a_tspan18b,0.991304348,0.991304348,1
chgb_tiam1a,1,1,1
dtnbp1a_tiam1a,1,0.994285714,0.994285714
lmo4b_tiam1a,0.982608696,0.982608696,0.982857143
gad2_tiam1a,0.991803279,0.999365079,0.991803279
kctd15a_tiam1a,1,0.999365079,0.999365079
dtnbp1b_tiam1a,1,1,1
prdm13_tiam1a,1,1,1
rims2a_tiam1a,0.991304348,0.961269841,0.961269841
kcnab1b_tiam1a,1,0.999365079,0.999365079
slc18a3a_tiam1a,1,1,1
pvalb6_tfap2e,1,1,1
slc6a1a_tfap2e,1,1,1
srrm4_tfap2e,1,0.999365079,0.999365079
meis2a_tfap2e,1,1,1
gbx2_tfap2e,1,1,1
tfap2e_tspan18b,1,1,1
chgb_tfap2e,1,1,1
dtnbp1a_tfap2e,1,1,1
lmo4b_tfap2e,1,1,1
gad2_tfap2e,1,1,1
kctd15a_tfap2e,1,1,1
dtnbp1b_tfap2e,1,1,1
prdm13_tfap2e,1,1,1
rims2a_tfap2e,1,1,1
kcnab1b_tfap2e,1,1,1
slc18a3a_tfap2e,1,1,1
pvalb6_slc6a1a,1,1,1
pvalb6_srrm4,0.991803279,0.97968254,0.97968254
meis2a_pvalb6,1,0.998730159,0.998730159
gbx2_pvalb6,1,1,1
pvalb6_tspan18b,0.991304348,0.991304348,1
chgb_pvalb6,1,1,1
dtnbp1a_pvalb6,1,0.994285714,0.994285714
lmo4b_pvalb6,0.991304348,0.991304348,0.991803279
gad2_pvalb6,1,0.999365079,0.999365079
kctd15a_pvalb6,1,1,1
dtnbp1b_pvalb6,1,1,1
prdm13_pvalb6,1,1,1
pvalb6_rims2a,0.991304348,0.98031746,0.98031746
kcnab1b_pvalb6,1,0.999365079,0.999365079
pvalb6_slc18a3a,1,1,1
slc6a1a_srrm4,1,0.998095238,0.998095238
meis2a_slc6a1a,1,1,1
gbx2_slc6a1a,1,1,1
slc6a1a_tspan18b,0.991304348,0.991304348,1
chgb_slc6a1a,1,1,1
dtnbp1a_slc6a1a,1,1,1
lmo4b_slc6a1a,1,0.999365079,0.999365079
gad2_slc6a1a,1,1,1
kctd15a_slc6a1a,1,1,1
dtnbp1b_slc6a1a,1,1,1
prdm13_slc6a1a,1,1,1
