Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
slc32a1_tfap2c,0.002249489,0.003754693,0.026397516,0.000152277,0.161485974,0.006726457,0.009259259,0.002569373,0
bhlhe22_slc32a1,0.006543967,0.003754693,0.043478261,0.000152277,0.247915087,0.004484305,0.016203704,0.005652621,0.003552398
pax10_slc32a1,0.001226994,0.001251564,0.054347826,0,0.227065959,0.006726457,0.011574074,0.002055498,0.003552398
slc32a1_tiam1a,0.001226994,0,0.048913043,0.000152277,0.157695224,0.00896861,0.020833333,0.000513875,0.003552398
slc32a1_tfap2e,0.000613497,0,0.024068323,0.000152277,0.103866566,0,0.006944444,0.001027749,0
pvalb6_slc32a1,0.000102249,0.001251564,0.059782609,0,0.160727824,0.006726457,0.027777778,0,0.001776199
slc32a1_slc6a1a,0.000204499,0.001251564,0.052018634,0,0.138741471,0.002242152,0.006944444,0,0.003552398
slc32a1_srrm4,0.004192229,0.002503129,0.038819876,0.000152277,0.129643669,0.002242152,0.013888889,0.003597122,0.001776199
meis2a_slc32a1,0.002556237,0.002503129,0.070652174,0.000152277,0.241091736,0.006726457,0.011574074,0.001541624,0.003552398
gbx2_slc32a1,0.000920245,0,0.016304348,0.000152277,0.06899166,0.002242152,0.00462963,0.001027749,0.003552398
slc32a1_tspan18b,0.004192229,0.003754693,0.038819876,0.000304553,0.146322972,0.013452915,0.00462963,0.002569373,0.007104796
chgb_slc32a1,0.000204499,0,0.007763975,0,0.072403336,0.002242152,0.002314815,0,0
dtnbp1a_slc32a1,0.001022495,0.001251564,0.046583851,0.000609106,0.143290371,0.006726457,0.006944444,0.001541624,0.001776199
lmo4b_slc32a1,0.004396728,0.006257822,0.072204969,0.001065936,0.225170584,0.006726457,0.027777778,0.005652621,0.001776199
gad2_slc32a1,0.005316973,0.003754693,0.083074534,0,0.242608036,0.006726457,0.032407407,0.002055498,0.001776199
kctd15a_slc32a1,0.001124744,0,0.031832298,0.000152277,0.108794541,0.002242152,0.011574074,0.001027749,0
dtnbp1b_slc32a1,0.000102249,0,0.031832298,0,0.096664139,0,0.011574074,0,0
prdm13_slc32a1,0.001329243,0.001251564,0.01863354,0,0.079984837,0.004484305,0.011574074,0.001541624,0
rims2a_slc32a1,0.000613497,0,0.046583851,0.000304553,0.146322972,0.004484305,0.011574074,0,0.001776199
kcnab1b_slc32a1,0,0,0.023291925,0,0.075435936,0,0.002314815,0.000513875,0
slc18a3a_slc32a1,0,0,0.029503106,0,0.076952237,0.004484305,0.013888889,0.001541624,0.001776199
bhlhe22_tfap2c,0.014621677,0.008760951,0.02173913,0.001370489,0.148976497,0.004484305,0.027777778,0.003083248,0.003552398
pax10_tfap2c,0.002351738,0.005006258,0.02484472,0.00045683,0.13267627,0.002242152,0.013888889,0.001541624,0.001776199
tfap2c_tiam1a,0.004192229,0,0.014751553,0.000609106,0.06823351,0.004484305,0.013888889,0.000513875,0.001776199
tfap2c_tfap2e,0.001226994,0.001251564,0.011645963,0.000304553,0.10272934,0.002242152,0.00462963,0.000513875,0.001776199
pvalb6_tfap2c,0.000204499,0.002503129,0.013975155,0.000152277,0.062926459,0.002242152,0.006944444,0,0.001776199
slc6a1a_tfap2c,0.000102249,0.001251564,0.016304348,0,0.074677786,0.002242152,0.00462963,0,0
srrm4_tfap2c,0.010224949,0.013767209,0.01242236,0.001370489,0.070887036,0,0.006944444,0.004110997,0.003552398
meis2a_tfap2c,0.004601227,0.006257822,0.02484472,0.000761383,0.146702047,0.004484305,0.018518519,0.003083248,0.001776199
gbx2_tfap2c,0.000920245,0.001251564,0.005434783,0.000304553,0.039044731,0,0.011574074,0.001027749,0
tfap2c_tspan18b,0.008588957,0.01126408,0.019409938,0.000761383,0.104245641,0.004484305,0.002314815,0.003597122,0
chgb_tfap2c,0,0.001251564,0.00310559,0,0.012888552,0,0.002314815,0,0
dtnbp1a_tfap2c,0.002351738,0.002503129,0.013975155,0.001979595,0.061410159,0.002242152,0,0,0.001776199
lmo4b_tfap2c,0.011247444,0.015018773,0.019409938,0.00395919,0.148597422,0.00896861,0.030092593,0.005652621,0.007104796
gad2_tfap2c,0.001635992,0.001251564,0.020186335,0,0.130022745,0.004484305,0.016203704,0.001541624,0
kctd15a_tfap2c,0.003578732,0.002503129,0.013975155,0.000761383,0.084912813,0.002242152,0.006944444,0.001541624,0
dtnbp1b_tfap2c,0.000102249,0,0.011645963,0,0.042077331,0,0.002314815,0.000513875,0
prdm13_tfap2c,0.004805726,0.006257822,0.00931677,0.000152277,0.049658832,0.002242152,0.020833333,0.002055498,0
rims2a_tfap2c,0.000715746,0.002503129,0.016304348,0,0.051933283,0.002242152,0.013888889,0.000513875,0
kcnab1b_tfap2c,0,0,0.00621118,0.000152277,0.034874905,0,0.002314815,0,0
slc18a3a_tfap2c,0,0,0.003881988,0,0.013646702,0.004484305,0,0.000513875,0
bhlhe22_pax10,0.005214724,0.005006258,0.050465839,0.005025126,0.224791509,0.002242152,0.016203704,0.004624872,0.005328597
bhlhe22_tiam1a,0.005521472,0.002503129,0.029503106,0.000913659,0.116755118,0.011210762,0.020833333,0.005138746,0.003552398
bhlhe22_tfap2e,0.002760736,0.002503129,0.01552795,0.000913659,0.083775588,0,0.006944444,0.002055498,0.001776199
bhlhe22_pvalb6,0.000408998,0.006257822,0.031055901,0,0.106899166,0.004484305,0.020833333,0.003597122,0.003552398
bhlhe22_slc6a1a,0.000408998,0.001251564,0.026397516,0.000304553,0.081501137,0,0.00462963,0,0
bhlhe22_srrm4,0.036400818,0.016270338,0.027950311,0.013857165,0.106520091,0,0.009259259,0.013874615,0
bhlhe22_meis2a,0.010531697,0.008760951,0.076863354,0.004568296,0.262319939,0.004484305,0.016203704,0.007708119,0.005328597
bhlhe22_gbx2,0.003067485,0.002503129,0.011645963,0.000152277,0.064063685,0,0.011574074,0.001541624,0.003552398
bhlhe22_tspan18b,0.025255624,0.008760951,0.034937888,0.006395614,0.139120546,0.011210762,0,0.019013361,0.005328597
bhlhe22_chgb,0.000102249,0,0.006987578,0,0.075815011,0.002242152,0.00462963,0,0.001776199
