Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
ptpn12,0.000204499,0,0.000776398,0.000913659,0.001137225,0,0.002314815,0.000513875,0
phtf2,0,0,0,0,0,0,0,0,0
CU856344.1,0,0,0,0,0,0.002242152,0,0,0
si:zfos-932h1.3,0.000715746,0.001251564,0,0.000761383,0.000379075,0,0,0.000513875,0
mansc1,0.000511247,0,0.014751553,0.000304553,0.003411676,0,0.002314815,0.006166495,0
lrp6,0.000613497,0.001251564,0,0.00045683,0,0,0,0,0
dusp16,0.005725971,0.008760951,0.003881988,0.015227653,0.002653525,0.01793722,0.011574074,0.002569373,0.007104796
crebl2,0.009100204,0.03379224,0.022515528,0.010202528,0.022365428,0.035874439,0.009259259,0.008735868,0.021314387
gpr19,0.002351738,0.002503129,0.031055901,0.001065936,0.016300227,0.015695067,0.018518519,0.010277492,0.005328597
tbk1,0.007566462,0.012515645,0.063664596,0.023602863,0.03146323,0.049327354,0.043981481,0.02004111,0.030195382
eps8a,0.000306748,0.017521902,0.007763975,0.001675042,0.003411676,0.00896861,0,0.002055498,0.193605684
ptpro,0.000511247,0,0,0.001370489,0.001137225,0,0,0,0
RERG,0,0,0,0,0,0,0.002314815,0,0
si:ch73-252i11.1,0.001431493,0.001251564,0.000776398,0.008527486,0.000379075,0.002242152,0,0,0.001776199
CABZ01085275.1,0,0,0,0.000304553,0,0,0,0,0
echdc3,0,0,0,0,0,0,0,0,0
FO834823.1,0.000306748,0,0,0.000609106,0.000379075,0,0,0,0
msgn1,0.016359918,0.002503129,0.004658385,0.023450586,0.002653525,0.006726457,0.025462963,0.003083248,0.005328597
si:ch211-51e12.7,0.557157464,0.491864831,0.580745342,0.798842698,0.529188779,0.221973094,0.386574074,0.427029805,0.342806394
mrps10,0.196421268,0.172715895,0.168478261,0.507994518,0.144048522,0.132286996,0.071759259,0.077595067,0.106571936
tulp4a,0.00204499,0.003754693,0.00310559,0.004263743,0.00075815,0,0,0.000513875,0
