Gene,Late RPCs_spec,Photoreceptor Precursor_spec,RGC_spec,Early RPCs_spec,Amacrine_spec,Muller Glia_spec,Horizontal_spec,Bipolar_spec,Photoreceptor_spec
ptpn12,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.998862775,0.997685185,0.997685185
phtf2,1,1,1,1,1,1,1,1,1
CU856344.1,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,1,0.997757848,0.997757848,0.997757848
si:zfos-932h1.3,0.998748436,0.999238617,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
mansc1,0.985248447,0.985248447,0.993833505,0.985248447,0.985248447,0.985248447,0.985248447,0.985248447,0.985248447
lrp6,0.998748436,0.999386503,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
dusp16,0.98206278,0.98206278,0.98206278,0.98206278,0.98206278,0.984772347,0.98206278,0.98206278,0.98206278
crebl2,0.964125561,0.964125561,0.964125561,0.964125561,0.964125561,0.96620776,0.964125561,0.964125561,0.964125561
gpr19,0.968944099,0.968944099,0.981481481,0.968944099,0.968944099,0.968944099,0.968944099,0.968944099,0.968944099
tbk1,0.936335404,0.936335404,0.950672646,0.936335404,0.936335404,0.936335404,0.936335404,0.936335404,0.936335404
eps8a,0.806394316,0.806394316,0.806394316,0.806394316,0.806394316,0.806394316,0.806394316,0.806394316,0.982478098
ptpro,0.998629511,0.998629511,0.998629511,0.998862775,0.998629511,0.998629511,0.998629511,0.998629511,0.998629511
RERG,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,1,0.997685185,0.997685185
si:ch73-252i11.1,0.991472514,0.991472514,0.991472514,0.997757848,0.991472514,0.991472514,0.991472514,0.991472514,0.991472514
CABZ01085275.1,0.999695447,0.999695447,0.999695447,1,0.999695447,0.999695447,0.999695447,0.999695447,0.999695447
echdc3,1,1,1,1,1,1,1,1,1
FO834823.1,0.999390894,0.999390894,0.999390894,0.999620925,0.999390894,0.999390894,0.999390894,0.999390894,0.999390894
msgn1,0.974537037,0.974537037,0.974537037,0.974537037,0.974537037,0.974537037,0.976549414,0.974537037,0.974537037
si:ch211-51e12.7,0.201157302,0.201157302,0.201157302,0.419254658,0.201157302,0.201157302,0.201157302,0.201157302,0.201157302
mrps10,0.492005482,0.492005482,0.492005482,0.803578732,0.492005482,0.492005482,0.492005482,0.492005482,0.492005482
tulp4a,0.995736257,0.995736257,0.995736257,0.996245307,0.995736257,0.995736257,0.995736257,0.995736257,0.995736257
tmem181,0.965838509,0.965838509,0.976851852,0.965838509,0.965838509,0.965838509,0.965838509,0.965838509,0.965838509
dynlt1,0.983729662,0.988354037,0.983729662,0.983729662,0.983729662,0.983729662,0.983729662,0.983729662,0.983729662
rpl18a,0,0,0,0.000511247,0,0,0,0,0
pthlha,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.998447205,0.997757848,0.997757848,0.997757848
xpot,0.819247754,0.819247754,0.819247754,0.933229814,0.819247754,0.819247754,0.819247754,0.819247754,0.819247754
rtcb,0.816049947,0.816049947,0.816049947,0.920143149,0.816049947,0.816049947,0.816049947,0.816049947,0.816049947
fbxo7,0.968609865,0.968609865,0.968609865,0.968609865,0.968609865,0.968935587,0.968609865,0.968609865,0.968609865
ost4,0.377950358,0.377950358,0.377950358,0.611801242,0.377950358,0.377950358,0.377950358,0.377950358,0.377950358
agbl5,0.980590062,0.980590062,0.98663926,0.980590062,0.980590062,0.980590062,0.980590062,0.980590062,0.980590062
tmem214,0.869194457,0.869194457,0.869194457,0.886645963,0.869194457,0.869194457,0.869194457,0.869194457,0.869194457
mapre3b,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.791149068
dpysl5b,0.708850932,0.708850932,0.775966641,0.708850932,0.708850932,0.708850932,0.708850932,0.708850932,0.708850932
sobpb,0.998972251,0.998972251,0.998972251,0.998972251,0.998972251,0.998972251,0.998972251,0.99954317,0.998972251
si:ch211-152c2.3,0.547085202,0.547085202,0.547085202,0.547085202,0.547085202,0.934782609,0.547085202,0.547085202,0.547085202
crybg1b,0.995515695,0.995515695,0.995515695,0.995515695,0.995515695,0.997496871,0.995515695,0.995515695,0.995515695
BX649468.1,1,1,1,1,1,1,1,1,1
mrap2b,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
ripply2,0.995583981,0.995583981,0.995583981,0.999284254,0.995583981,0.995583981,0.995583981,0.995583981,0.995583981
sim1b,1,1,1,1,1,1,1,1,1
atp23,0.869651287,0.869651287,0.869651287,0.937833037,0.869651287,0.869651287,0.869651287,0.869651287,0.869651287
rpap3,0.790619765,0.790619765,0.790619765,0.952453988,0.790619765,0.790619765,0.790619765,0.790619765,0.790619765
naga,0.891122278,0.891122278,0.891122278,0.912556054,0.891122278,0.891122278,0.891122278,0.891122278,0.891122278
FAM180A,0.998748436,0.999486125,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
mtpn,0.534947465,0.534947465,0.534947465,0.627802691,0.534947465,0.534947465,0.534947465,0.534947465,0.534947465
si:ch211-117i20.2,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.999486125,0.997685185,0.997685185
chrm2a,0.995451099,0.995451099,0.995451099,0.995451099,0.997670807,0.995451099,0.995451099,0.995451099,0.995451099
ptn,0.476851852,0.476851852,0.476851852,0.476851852,0.476851852,0.476851852,0.852017937,0.476851852,0.476851852
CABZ01068469.1,0.994565217,0.994565217,0.996588324,0.994565217,0.994565217,0.994565217,0.994565217,0.994565217,0.994565217
trim35-14,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.998977505,0.997685185,0.997685185
zmp:0000000711,0.953098827,0.953098827,0.953098827,0.965277778,0.953098827,0.953098827,0.953098827,0.953098827,0.953098827
slc38a4,0.798206278,0.798206278,0.798206278,0.798206278,0.798206278,0.899954317,0.798206278,0.798206278,0.798206278
slc38a2,0.710479574,0.710479574,0.710479574,0.710479574,0.710479574,0.710479574,0.710479574,0.710479574,0.768460576
scaf11,0.80493376,0.80493376,0.80493376,0.900715746,0.80493376,0.80493376,0.80493376,0.80493376,0.80493376
arid2,0.809654332,0.809654332,0.809654332,0.853271984,0.809654332,0.809654332,0.809654332,0.809654332,0.809654332
gas2l3,0.990750257,0.990750257,0.990750257,0.990750257,0.990750257,0.990750257,0.990750257,0.992895204,0.990750257
fgfr1op2,0.822902391,0.822902391,0.822902391,0.890899796,0.822902391,0.822902391,0.822902391,0.822902391,0.822902391
tm7sf3,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,0.925689051,0.895833333,0.895833333
med21,0.560073093,0.560073093,0.560073093,0.744785276,0.560073093,0.560073093,0.560073093,0.560073093,0.560073093
