Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
ptpn12,0.001933613,0.004833512,0.003286231,0.002677376,0.001631321,0.002469136,0.003167063,0.002277904,0.00748503,0
phtf2,0.002255881,0.001208378,0.000657246,0.001338688,0.001631321,0.003292181,0.003167063,0,0.001497006,0
phtf2.1,0.01321302,0.007183136,0.003286231,0.00669344,0.006117455,0.004938272,0.022961203,0.002277904,0.004491018,0.011764706
CU856344.1,0,0,0.002300361,0.001338688,0.00040783,0.008230453,0.001583531,0,0,0
si:zfos-932h1.3,0.003544956,0.001476907,0.002300361,0.004016064,0.001223491,0.003292181,0.004750594,0.002277904,0.004491018,0.005882353
mansc1,0.059297454,0.017991407,0.007229708,0.009370817,0.020391517,0.016460905,0.106888361,0.006833713,0.004491018,0
lrp6,0.003867225,0.00127551,0.002300361,0.005354752,0.002446982,0.005761317,0.002375297,0,0.002994012,0
dusp16,0.004189494,0.007988722,0.069996714,0.033467202,0.024469821,0.04691358,0.014251781,0.022779043,0.094311377,0.176470588
crebl2,0.089912987,0.038600967,0.143608281,0.072289157,0.039559543,0.070781893,0.118764846,0.041002278,0.136227545,0.070588235
gpr19,0.038349984,0.017387218,0.029576076,0.021419009,0.016313214,0.047736626,0.065716548,0.01594533,0.019461078,0.017647059
tbk1,0.083145343,0.034640172,0.05027933,0.045515395,0.0591354,0.083950617,0.119556611,0.025056948,0.167664671,0.235294118
eps8a,0.027715114,0.016313104,0.511666119,0.018741633,0.014681892,0.032921811,0.038796516,0.293849658,0.098802395,0.011764706
ptpro,0.003222688,0.001476907,0.000985869,0.001338688,0.000815661,0,0.007917656,0,0,0
ptpro.1,0.016113439,0.009129968,0.002957608,0.002677376,0.005709625,0.008230453,0.036421219,0,0.002994012,0.005882353
RERG,0.004189494,0.000671321,0.001314492,0.179384203,0.008564437,0.003292181,0.007917656,0,0.001497006,0
si:ch73-252i11.1,0,0.000134264,0.000985869,0.008032129,0,0.006584362,0.002375297,0,0.004491018,0.035294118
CABZ01085275.1,0,0.000134264,0.000657246,0.00669344,0.00040783,0.001646091,0,0,0,0.005882353
echdc3,0.000322269,0.000134264,0,0,0,0,0,0,0,0
