Gene,Amacrine_spec,Bipolar_spec,Cone_spec,Cornea_spec,Horizontal_spec,Muller Glia_spec,RGC_spec,Rod_spec,RPE_spec,Microglia_spec
ptpn12,0.99251497,0.99251497,0.99251497,0.99251497,0.99251497,0.99251497,0.99251497,0.99251497,0.995166488,0.99251497
phtf2,0.996707819,0.996707819,0.996707819,0.996707819,0.996707819,0.996832937,0.996707819,0.996707819,0.996707819,0.996707819
phtf2.1,0.977038797,0.977038797,0.977038797,0.977038797,0.977038797,0.977038797,0.98678698,0.977038797,0.977038797,0.977038797
CU856344.1,0.991769547,0.991769547,0.991769547,0.991769547,0.991769547,0.997699639,0.991769547,0.991769547,0.991769547,0.991769547
si:zfos-932h1.3,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.995249406
mansc1,0.893111639,0.893111639,0.893111639,0.893111639,0.893111639,0.893111639,0.940702546,0.893111639,0.893111639,0.893111639
lrp6,0.994238683,0.994238683,0.994238683,0.994238683,0.994238683,0.994645248,0.994238683,0.994238683,0.994238683,0.994238683
dusp16,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.905688623
crebl2,0.856391719,0.856391719,0.863772455,0.856391719,0.856391719,0.856391719,0.856391719,0.856391719,0.856391719,0.856391719
gpr19,0.934283452,0.934283452,0.934283452,0.934283452,0.934283452,0.934283452,0.952263374,0.934283452,0.934283452,0.934283452
tbk1,0.764705882,0.764705882,0.764705882,0.764705882,0.764705882,0.764705882,0.764705882,0.764705882,0.764705882,0.832335329
eps8a,0.48833388099999997,0.48833388099999997,0.7061503419999999,0.48833388099999997,0.48833388099999997,0.48833388099999997,0.48833388099999997,0.48833388099999997,0.48833388099999997,0.48833388099999997
ptpro,0.992082344,0.992082344,0.992082344,0.992082344,0.992082344,0.992082344,0.996777312,0.992082344,0.992082344,0.992082344
ptpro.1,0.963578781,0.963578781,0.963578781,0.963578781,0.963578781,0.963578781,0.983886561,0.963578781,0.963578781,0.963578781
RERG,0.820615797,0.820615797,0.820615797,0.991435563,0.820615797,0.820615797,0.820615797,0.820615797,0.820615797,0.820615797
si:ch73-252i11.1,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.991967871
CABZ01085275.1,0.99330656,0.99330656,0.99330656,0.994117647,0.99330656,0.99330656,0.99330656,0.99330656,0.99330656,0.99330656
echdc3,0.999865736,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731
FO834823.1,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.99959217,0.998502994
msgn1,0.968329375,0.968329375,0.968329375,0.968329375,0.968329375,0.968329375,0.994117647,0.968329375,0.968329375,0.968329375
si:ch211-51e12.7,0.761678543,0.761678543,0.761678543,0.761678543,0.761678543,0.761678543,0.785737759,0.761678543,0.761678543,0.761678543
mrps10,0.723529412,0.723529412,0.723529412,0.723529412,0.723529412,0.723529412,0.723529412,0.723529412,0.723529412,0.819477435
tulp4a,0.942992874,0.942992874,0.942992874,0.942992874,0.942992874,0.942992874,0.952941176,0.942992874,0.942992874,0.942992874
tmem181,0.8892215569999999,0.8892215569999999,0.8892215569999999,0.8892215569999999,0.8892215569999999,0.8892215569999999,0.8892215569999999,0.8892215569999999,0.928741093,0.8892215569999999
dynlt1,0.926717056,0.926717056,0.963578781,0.926717056,0.926717056,0.926717056,0.926717056,0.926717056,0.926717056,0.926717056
rpl18a,0.04819277099999997,0.04819277099999997,0.04819277099999997,0.052941176000000034,0.04819277099999997,0.04819277099999997,0.04819277099999997,0.04819277099999997,0.04819277099999997,0.04819277099999997
BX890562.1,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.9957279,0.994011976
BX890562.3,0.998661312,0.998661312,0.998661312,0.999677731,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312
BX890562.2,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.999342754,0.999208234,0.999208234,0.999208234
pthlha,0.985274431,0.985274431,0.985274431,0.993554625,0.985274431,0.985274431,0.985274431,0.985274431,0.985274431,0.985274431
xpot,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.922155689
rtcb,0.888235294,0.888235294,0.888235294,0.888235294,0.888235294,0.888235294,0.888235294,0.888235294,0.888235294,0.963578781
fbxo7,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.926646707
CU855889.2,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.994011976,0.995983936,0.994011976
